index,name,price,location,property_status,property_living_size,property_lot_size ,property_type,bedrooms,bathrooms,Pool,link
29,Paradera 225,RENTED,Paradera,,,,Residential,5,3,Pool,https://century21aruba.com//en/d/paradera-225-home-for-rent-aruba-1148744
31,Mesavista Tierra Del Sol Villa,RENTED,Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/mesavista-tierra-del-sol-villa-home-for-rent-aruba-1149186
34,Tanki Flip Property Land,"US$ 63,144",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/tanki-flip-property-land-for-sale-aruba-1149949
36,Modanza Homes & Gardens Property Land,"US$ 64,400",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/modanza-homes-gardens-property-land-for-sale-aruba-1149862
38,Tamarijn Homes And Gardens,"US$ 75,843",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/tamarijn-homes-and-gardens-land-for-sale-aruba-1145275
41,Napa Valley Residences Property Land,"US$ 99,600",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/napa-valley-residences-property-land-for-sale-aruba-1149861
43,Wayaca Property Land,"US$ 105,618",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/wayaca-property-land-for-sale-aruba-1148092
45,Zumbo Property Land,"US$ 107,334",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/zumbo-property-land-for-sale-aruba-1149997
47,Emmastraat Property Land,SOLD,Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/emmastraat-property-land-for-sale-aruba-1149481
49,Rooi Santo Land,"US$ 126,405",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/rooi-santo-land-for-sale-aruba-1147517
51,Golfweg,"US$ 126,405",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/golfweg-land-for-sale-aruba-1149144
53,Paradera Property Land,"US$ 126,405",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/paradera-property-land-for-sale-aruba-1149163
55,Sabana Grandi Property Land,"US$ 126,405",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/sabana-grandi-property-land-for-sale-aruba-1146043
57,Noord Property Lot,"US$ 225,000",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/noord-property-lot-land-for-sale-aruba-1147394
59,Seroe Pita Property Land,"US$ 241,264",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/seroe-pita-property-land-for-sale-aruba-1147747
61,Bona Vista Hills,"US$ 241,264",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/bona-vista-hills-land-for-sale-aruba-1146566
63,Luxemburgstraat,"US$ 241,264",Ponton,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/luxemburgstraat-land-for-sale-aruba-1144854
68,Harbour House Studio,"US$ 270,000",Renaissance,Under Contract,37,,Residential,1,1,Ocean,https://century21aruba.com//en/d/harbour-house-studio-condo-for-sale-aruba-1149804
70,Noord 51 - F,"US$ 289,000",Palm,Under Contract,75,,Residential,2,2,Garden,https://century21aruba.com//en/d/noord-51-f-condo-for-sale-aruba-1148743
72,Noord 51 - F - 1,"US$ 297,500",Palm,New Listing,6.97,,Residential,2,2,Inland,https://century21aruba.com//en/d/noord-51-f-1-condo-for-sale-aruba-1149972
74,Harbour House Studio 613s,"US$ 299,500",Renaissance,New Listing,37,,Residential,2,2,City,https://century21aruba.com//en/d/harbour-house-studio-613s-condo-for-sale-aruba-1149936
76,Palma Real 45,"US$ 315,000",Palm,Under Contract,83,,Residential,2,2,Pool,https://century21aruba.com//en/d/palma-real-45-condo-for-sale-aruba-1149590
78,Noord 100 - C,"US$ 319,000",Alto,Motivated Seller,109,,Residential,2,2&half,Garden,https://century21aruba.com//en/d/noord-100-c-condo-for-sale-aruba-1148324
80,Diamante 237 - C,SOLD,Westpunt,,,,Residential,2,2,Inland,https://century21aruba.com//en/d/diamante-237-c-condo-for-sale-aruba-1147950
82,Diamante 231 - D,SOLD,Westpunt,,,,Residential,2,2,Inland,https://century21aruba.com//en/d/diamante-231-condo-for-sale-aruba-1149304
84,Arena Condominium 14,SOLD,Westpunt,,,,Residential,2,2,Inland,https://century21aruba.com//en/d/arena-condominium-14-for-sale-aruba-1149148
86,Harbour House Aruba,SOLD,Westpunt,,,,Residential,2,2,Inland,https://century21aruba.com//en/d/harbour-house-aruba-condo-for-sale-1144749
88,Pearl Aruba 38 - 38a,"US$ 435,000",Eagle,New Listing,126,,Residential,2,2,Pool,https://century21aruba.com//en/d/pearl-aruba-38-condo-for-sale-1149560
90,Pearl Aruba 32 - 32a,"US$ 435,000",Eagle,New Listing,126,,Residential,2,2,Pool,https://century21aruba.com//en/d/pearl-aruba-32-condo-for-sale-1149559
92,Harbour House Unit 201,"US$ 435,000",Eagle,,,,Residential,2,2,Pool,https://century21aruba.com//en/d/harbour-house-unit-201-condo-for-sale-aruba-1149344
94,Harbour House Unit 410,"US$ 435,000",Eagle,,,,Residential,2,2,Pool,https://century21aruba.com//en/d/harbour-house-unit-410-condo-for-sale-aruba-1149079
96,Palm Aruba 109,"US$ 435,000",Eagle,,,,Residential,2,2,Pool,https://century21aruba.com//en/d/palm-aruba-109-condo-for-sale-1149257
98,Palm Aruba Condos Unit 405,"US$ 435,000",Eagle,,,,Residential,2,2,Pool,https://century21aruba.com//en/d/palm-aruba-condos-unit-405-for-sale-1144846
100,Harbour House Unit 202,"US$ 599,000",Renaissance,Motivated Seller,182,,Residential,3,2,Island,https://century21aruba.com//en/d/harbour-house-unit-202-condo-for-sale-aruba-1149043
102,Jardines Del Mar Unit #2,"US$ 599,000",Renaissance,,,,Residential,3,2,Island,https://century21aruba.com//en/d/jardines-del-mar-unit-2-condo-for-sale-aruba-1146729
104,Acqua Condominiums Unit 333,"US$ 750,000",Palm,New Listing,99,,Residential,2,2,Ocean,https://century21aruba.com//en/d/acqua-condominiums-unit-333-for-sale-aruba-1149916
106,Coral Shell Condominium Unit 13,"US$ 750,000",Palm,,,,Residential,2,2,Ocean,https://century21aruba.com//en/d/coral-shell-condominium-unit-13-for-sale-aruba-1148888
109,Blue Residences Unit 411,"US$ 880,000",Eagle,Under Contract,150,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/blue-residences-unit-411-condo-for-sale-aruba-1148859
111,Coral Shell Condominium Unit 2,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/coral-shell-condominium-unit-2-for-sale-aruba-1148879
113,Atlantic 360 Residences,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/atlantic-360-residences-condo-for-sale-aruba-1148663
115,Oceania Residences,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/oceania-residences-condo-for-sale-aruba-1148560
117,Azure Beach Residences,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/azure-beach-residences-condo-for-sale-aruba-1145319
119,Blue Residences Penthouse 1 - 2,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/blue-residences-penthouse-1-2-condo-for-sale-aruba-1144889
123,Coral Shell Condominium Unit 6,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/coral-shell-condominium-unit-6-for-sale-aruba-1148860
125,Coral Shell Unit 1,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/coral-shell-unit-1-condo-for-sale-aruba-1148892
127,Coral Shell Condominium Unit 3,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/coral-shell-condominium-unit-3-for-sale-aruba-1148823
129,Coral Shell Condominium Unit 16,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/coral-shell-condominium-unit-16-for-sale-aruba-1148874
131,Oceania Residences Penthouse 7,"US$ 880,000",Eagle,,,,Residential,3,3,Panoramic,https://century21aruba.com//en/d/oceania-residences-penthouse-7-condo-for-sale-aruba-1149484
135,Moko 62 - A,"US$ 140,450",Moko,New Listing,61.5,,Residential,3,3,Garden,https://century21aruba.com//en/d/moko-62-a-home-for-sale-aruba-1150093
137,Sabana Basora 156,SOLD,Sabana,,,,Residential,4,2,Garden,https://century21aruba.com//en/d/sabana-basora-156-home-for-sale-aruba-1148123
139,Ponton 88 - K,SOLD,Ponton,,,,Residential,4,3,Garden,https://century21aruba.com//en/d/ponton-88-k-home-for-sale-aruba-1145154
141,Caya Eleuterio (Boes) Orman 28,"US$ 190,000",Renaissance,New Listing,150,,Residential,8,3,Garden,https://century21aruba.com//en/d/caya-eleuterio-boes-orman-28-home-for-sale-aruba-1149558
143,Punto Di Oro,"US$ 224,157",Tanki,Pending Offers,131,,Residential,3,2,Garden,https://century21aruba.com//en/d/punto-di-oro-home-for-sale-aruba-1145153
145,Seroe Blanco 632,SOLD,Sero,,,,Residential,4,3,Garden,https://century21aruba.com//en/d/seroe-blanco-632-home-for-sale-aruba-1145112
147,Balashi 14a,SOLD,Sero,,,,Residential,4,3,Garden,https://century21aruba.com//en/d/balashi-14a-home-for-sale-aruba-1148568
149,Paradera 1,SOLD,Sero,,,,Residential,4,3,Garden,https://century21aruba.com//en/d/paradera-1-home-for-sale-aruba-1149126
151,Yayostraat 5,SOLD,Sero,,,,Residential,4,3,Garden,https://century21aruba.com//en/d/yayostraat-5-home-for-sale-aruba-1146430
153,Sabana Liber 232,"US$ 249,000",Sabana,New Listing,75,,Residential,2,1,Garden,https://century21aruba.com//en/d/sabana-liber-232-home-for-sale-aruba-1150199
155,San Fuego 22 - C,"US$ 249,000",Sabana,,,,Residential,2,1,Garden,https://century21aruba.com//en/d/san-fuego-22-c-home-for-sale-aruba-1149199
157,Napa Valley - Townhouse Unit 1 - B,"US$ 249,000",Sabana,,,,Residential,2,1,Garden,https://century21aruba.com//en/d/napa-valley-townhouse-unit-1-b-home-for-sale-aruba-1146508
159,Piedra Plat 104 - D,"US$ 258,427",Piedra,New Listing,180,,Residential,4,2,Inland,https://century21aruba.com//en/d/piedra-plat-104-d-home-for-sale-aruba-1149580
161,Papilon 63 - C,"US$ 258,427",Piedra,,,,Residential,4,2,Inland,https://century21aruba.com//en/d/papilon-63-c-home-for-sale-aruba-1145676
163,Tanki Leendert 263 - B,SOLD,Tanki,,,,Residential,3,1,Inland,https://century21aruba.com//en/d/tanki-leendert-263-b-home-for-sale-aruba-1148785
165,Piedra Plat 23 - E,"US$ 278,090",Piedra,Pending Offers,242.55,,Residential,4,2,Inland,https://century21aruba.com//en/d/piedra-plat-23-e-home-for-sale-aruba-1149339
167,Sabana Liber 18 - A,"US$ 278,090",Piedra,,,,Residential,4,2,Inland,https://century21aruba.com//en/d/sabana-liber-18-a-home-for-sale-aruba-1149482
169,Stadionweg 8,"US$ 295,000",Surfside,New Listing,256,,Residential,3,2&half,Inland,https://century21aruba.com//en/d/stadionweg-8-home-for-sale-aruba-1150035
171,Verano 8,"US$ 300,000",Morgenster,New Listing,267,,Residential,5,3,Inland,https://century21aruba.com//en/d/verano-8-home-for-sale-aruba-1150027
173,Walishali 14,"US$ 300,561",Ponton,Under Contract,116,,Residential,2,2,Inland,https://century21aruba.com//en/d/walishali-14-home-for-sale-aruba-1149573
175,Paradera 85 - N & P,SOLD,Paradera,,,,Residential,4,2,Garden,https://century21aruba.com//en/d/paradera-85-n-home-for-sale-aruba-1147944
177,Wayaca Residence 333,"US$ 350,028",Wayaca,New Listing,162,,Residential,3,2,Garden,https://century21aruba.com//en/d/wayaca-residence-333-home-for-sale-aruba-1149604
179,Little Palms,"US$ 350,028",Wayaca,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/little-palms-home-for-sale-aruba-1147399
181,Paradera 177 - A,"US$ 360,000",Paradera,New Listing,130,,Residential,3,2,Inland,https://century21aruba.com//en/d/paradera-177-a-home-for-sale-aruba-1150071
183,Alto Vista 28 - V,"US$ 365,000",Alto,Motivated Seller,156.5,,Residential,3,3,Inland,https://century21aruba.com//en/d/alto-vista-28-home-for-sale-aruba-1148791
185,Tibushi 1,"US$ 369,000",Westpunt,Under Contract,123,,Residential,4,3,Inland,https://century21aruba.com//en/d/tibushi-1-home-for-sale-aruba-1150002
187,Tuscany Residence Aruba,"US$ 389,000",Bakval,Under Contract,107,,Residential,2,2&half,Inland,https://century21aruba.com//en/d/tuscany-residence-aruba-home-for-sale-1144662
189,Seroe Blanco 319,"US$ 435,394",Sero,New Listing,279,,Residential,3,3&half,Garden,https://century21aruba.com//en/d/seroe-blanco-319-home-for-sale-aruba-1149620
191,Mazurka 19,"US$ 475,000",Cunucu,New Listing,196,,Residential,4,3,Inland,https://century21aruba.com//en/d/mazurka-19-home-for-sale-aruba-1150012
193,Paradera 233,"US$ 475,000",Cunucu,,,,Residential,4,3,Inland,https://century21aruba.com//en/d/paradera-233-home-for-sale-aruba-1149272
195,Tuscany Watervillas,"US$ 476,700",Bakval,Under Contract,"1,100",,Residential,2,2&half,Pool,https://century21aruba.com//en/d/tuscany-watervillas-home-for-sale-aruba-1147405
197,Felicidad 6,"US$ 484,000",Tanki,New Listing,100,,Residential,3,2,Inland,https://century21aruba.com//en/d/felicidad-6-home-for-sale-aruba-1150183
199,Tibushi 28,"US$ 484,000",Tanki,,,,Residential,3,2,Inland,https://century21aruba.com//en/d/tibushi-28-home-for-sale-aruba-1149196
201,Sabana Liber 293,"US$ 599,000",Sabana,Under Contract,210,,Residential,3,2,Pool,https://century21aruba.com//en/d/sabana-liber-293-home-for-sale-aruba-1147904
203,Matadera 3 - E,SOLD,Matadera,,,,Residential,8,9,Pool,https://century21aruba.com//en/d/matadera-3-e-home-for-sale-aruba-1147163
206,Sabana Liber 223,"US$ 675,000",Sabana,Pending Offers,225,,Residential,4,2&half,Inland,https://century21aruba.com//en/d/sabana-liber-223-home-for-sale-aruba-1148863
208,Porta Al Sole Townhomes,"US$ 675,000",Sabana,,,,Residential,4,2&half,Inland,https://century21aruba.com//en/d/porta-al-sole-townhomes-home-for-sale-aruba-1149502
210,Diamante 175,"US$ 700,000",Westpunt,Under Contract,203,,Residential,4,4,Pool,https://century21aruba.com//en/d/diamante-175-home-for-sale-aruba-1147769
212,Las Campeonas - Tierra Del Sol,"US$ 700,000",Westpunt,,,,Residential,4,4,Pool,https://century21aruba.com//en/d/las-campeonas-tierra-del-sol-home-for-sale-aruba-1150097
214,Tebenki 17,SOLD,Washington,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/tebenki-17-home-for-sale-aruba-1149118
216,Azure Beach Residences Villa # 1,SOLD,Washington,,,,Residential,4,4,Inland,https://century21aruba.com//en/d/azure-beach-residences-villa-1-home-for-sale-aruba-1149486
218,Koyari 25 - D,"US$ 849,000",Koyari,New Listing,399,,Residential,3,3&half,Garden,https://century21aruba.com//en/d/koyari-25-d-home-for-sale-aruba-1150190
220,Esmeralda 82,SOLD,Westpunt,,,,Residential,5,4,Inland,https://century21aruba.com//en/d/esmeralda-82-home-for-sale-aruba-1149065
222,Tuscany Villa 14,SOLD,Westpunt,,,,Residential,5,4,Inland,https://century21aruba.com//en/d/tuscany-villa-14-home-for-sale-aruba-1144690
224,Mesa Vista 8,SOLD,Westpunt,,,,Residential,5,4,Inland,https://century21aruba.com//en/d/mesa-vista-8-home-for-sale-aruba-1148794
226,Koyari 23,SOLD,Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/koyari-23-home-for-sale-aruba-1144695
228,Bubali 115 - D,SOLD,Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/bubali-115-d-home-for-sale-aruba-1147981
235,Dominicanessenstraat 2,"US$ 140,450",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/dominicanessenstraat-2-cbo-for-sale-aruba-1148151
238,B. Van De Veen Zeppenfeldtstraat 81,"US$ 278,090",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/b-van-de-veen-zeppenfeldtstraat-81-cbo-for-sale-aruba-1149758
240,Little Palm Apartments,"US$ 278,090",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/little-palm-apartments-comm-res-for-sale-aruba-1147423
244,Hubadastraat 20,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/hubadastraat-20-cbo-for-sale-aruba-1144708
246,Windstraat 32,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/windstraat-32-bve-for-sale-aruba-1145124
248,Bernhardstraat 130,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/bernhardstraat-130-comm-bui-land-for-sale-aruba-1148196
250,Caya Betico Croes 52,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/caya-betico-croes-52-cbo-for-sale-aruba-1144864
252,Caya Betico Croes 78,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/caya-betico-croes-78-cbo-for-sale-aruba-1144713
254,Beatrixstraat 38,"US$ 360,000",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/beatrixstraat-38-cbo-for-sale-aruba-1148041
256,Piedra Plat 104 - B,"US$ 856,742",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/piedra-plat-104-b-for-sale-aruba-1146963
258,Cura Cabai 143,"US$ 856,742",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/cura-cabai-143-comm-bui-land-for-sale-aruba-1149237
260,Weststraat,"US$ 856,742",Koyari,,,,Residential,4,3,Pool,https://century21aruba.com//en/d/weststraat-cbo-for-sale-aruba-1147823
263,Nature Deluxe Studio Apt.,RENTED,Sabana,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/nature-deluxe-studio-apt-condo-for-rent-aruba-1149579
265,Cunucu Villas Apartments,RENTED,Sabana,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/cunucu-villas-apartments-condo-for-rent-aruba-1147209
270,Orcuyo 4j Apt.,RENTED,Hooiberg,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/orcuyo-4j-apt-condo-for-rent-aruba-1148773
272,Wayaca Apartments,RENTED,Hooiberg,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/wayaca-apartments-condo-for-rent-aruba-1144745
274,Sweelinckstraat Studio 1,US$ 800,Renaissance,New Listing,20,,Residential,1,1,Garden,https://century21aruba.com//en/d/sweelinckstraat-studio-1-condo-for-rent-aruba-1149964
276,Paraguana Apts,US$ 800,Renaissance,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/paraguana-apts-condo-for-rent-aruba-1149352
278,Marquee Apartments,US$ 800,Renaissance,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/marquee-apartments-condo-for-rent-aruba-1144735
280,La Boheme Apartments,US$ 800,Renaissance,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/la-boheme-apartments-condo-for-rent-aruba-1144748
282,Nature Deluxe Apt. 4,US$ 800,Renaissance,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/nature-deluxe-apt-4-condo-for-rent-aruba-1148814
284,Paraguana Apartments,US$ 800,Renaissance,,,,Residential,1,1,Garden,https://century21aruba.com//en/d/paraguana-apartments-condo-for-rent-aruba-1144737
288,Landslake D - 4,RENTED,Rooi,,,,Residential,2,1,Garden,https://century21aruba.com//en/d/landslake-d-4-condo-for-rent-aruba-1149016
290,King David Suites,RENTED,Rooi,,,,Residential,2,1,Garden,https://century21aruba.com//en/d/king-david-suites-condo-for-rent-aruba-1148662
