name,location,property,property_lot_size,property_living_size,price,bedrooms,bathrooms,Pool,link
La Colina - TIERRA DEL SOL,"La Colina 11, Aruba",For Sale,"13,810
sq.ft","7,298sq.ft","$3,000,000",6,6,,https://boldrealestatearuba.com//properties/la-colina-tierra-del-sol
Villa Bella Luna ,"Calabas 33-E, Aruba",For Sale,"7,427
sq.ft","2,368sq.ft","$1,371,200",3,3,,https://boldrealestatearuba.com//properties/villa-bella-luna
Lux Esmeralda,Lux Esmeralda,For Sale,"12,626
sq.ft","3,315sq.ft","$1,100,000",4,4,,https://boldrealestatearuba.com//properties/lux-esmeralda
Seroe Janchi,"Seroe Janchi 25B, Noord, Aruba",For Sale,"12,626
sq.ft",,,8,,,https://boldrealestatearuba.com//properties/seroe-janchi
The Multi- Space Office,"Barcadera 134, Aruba",For Rent,"12,626
sq.ft",,,For Rent,,,https://boldrealestatearuba.com//properties/the-multi-space-office
Diamante 182 A (RENTED),"Diamante 182 A, Noord, Aruba",For Rent,"12,626
sq.ft",,,2,,,https://boldrealestatearuba.com//properties/diamante-182-a
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft",,,2,,,https://boldrealestatearuba.com//properties/gold-coast-138d
Harbour Penthouse ,"Harbour House, Oranjestad, Aruba",For Sale,"12,626
sq.ft",,,3,,,https://boldrealestatearuba.com//properties/harbour-penthouse
CENTRAL LUXURY LIVING APARTMENT #2,"LG SMITH BLVD 60, Oranjestad, Aruba",For Sale,"1,433
sq.ft",133sq.ft,"$659,000",2,2,,https://boldrealestatearuba.com//properties/central-luxury-living-apartment-2
Atlantic 360 Residences ,"  , Eagle   ",For Sale,"1,863
sq.ft",173sq.ft,"$960,705",3,3.5,,https://boldrealestatearuba.com//properties/atlantic-360-residences-2
Beauty in Nature,Beauty in Nature,For Sale,"1,863
sq.ft",,,For Sale,,,https://boldrealestatearuba.com//properties/beauty-in-nature
Seroe Janchi,"Seroe Janchi 25B, Noord, Aruba",For Sale,"1,863
sq.ft",,,8,,,https://boldrealestatearuba.com//properties/seroe-janchi
Property land Bonaire,Property land Bonaire,For Sale,"1,863
sq.ft",,,For Sale,,,https://boldrealestatearuba.com//properties/property-land-bonaire
Property land Catashi,Property land Catashi,For Sale,"1,863
sq.ft",,,For Sale,,,https://boldrealestatearuba.com//properties/property-land-catashi
Palm Beach 88-C,"Palm Beach 88-C, Noord, Noord, Aruba",Under Contract,"6,458
sq.ft","2,604sq.ft","$506,000",3,2,,https://boldrealestatearuba.com//properties/palm-beach-88-c
Paradera 87H,"Paradera 87H, Paradera, Aruba",Residential,"6,458
sq.ft",,,2,,,https://boldrealestatearuba.com//properties/paradera-87h
Alto Vista 32,"Alto Vista 32, Noord, Aruba",For Sale,"6,458
sq.ft",,,4,,,https://boldrealestatearuba.com/properties/alto-vista-32
